CHEMBL513389	Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2
CHEMBL2088202	CCC1=C(CC)CC2=C(C1)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2
CHEMBL1221589	O=c1[nH]c2c(O)ccc([C@@H](O)CNCCCc3ccccc3)c2s1
CHEMBL266195	C=CCc1ccccc1OCC(O)CNC(C)C
CHEMBL1221679	O=c1[nH]c2c(O)ccc([C@@H](O)CNC3CCCCCC3)c2s1
CHEMBL4587648	C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCN
CHEMBL4459696	COC(=O)CSCCCc1ccccc1OCC(O)CNC(C)C
CHEMBL6913	CC(C)N[C@@H]1CCc2c(ccc(O)c2O)[C@H]1O
CHEMBL4860571	Oc1ccc2c(c1O)CC[C@@H](NCC1CC(F)(F)C1)[C@@H]2O
CHEMBL4869517	Oc1ccc2c(c1O)CC[C@@H](NC1CCCC1)[C@@H]2O
CHEMBL4871979	Oc1ccc2c(c1O)CC[C@@H](NCCCF)[C@@H]2O
